quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
1,84.0,504.0,5.0,6.0,28.0
Gò Vấp,168.0,168.0,10.0,8.0,21.0
2,114.0,550.0,4.0,4.0,65.0
11,53.0,193.0,6.0,5.0,19.5
4,65.0,65.0,2.0,1.0,2.9
Tân Phú,80.0,80.0,2.0,1.0,13.0
Tân Phú,80.0,80.0,2.0,2.0,12.6
Gò Vấp,131.0,150.0,2.0,1.0,25.0
4,60.0,60.0,3.0,3.0,0.96
12,44.0,44.0,2.0,2.0,4.35
1,165.0,165.0,3.0,2.0,55.0
9,92.0,92.0,5.0,5.0,7.9
1,252.0,252.0,2.0,2.0,50.0
Tân Phú,57.0,114.0,2.0,2.0,4.0
6,26.0,66.0,3.0,3.0,3.3
2,152.0,502.0,5.0,5.0,28.0
8,120.0,480.0,4.0,5.0,24.0
4,60.0,60.0,2.0,1.0,3.4
2,248.0,248.0,5.0,4.0,55.0
4,70.0,140.0,3.0,3.0,1.1
2,88.0,88.0,2.0,2.0,10.2
6,60.0,196.0,4.0,5.0,14.0
5,64.0,64.0,3.0,3.0,0.98
Tân Phú,68.0,150.0,3.0,2.0,7.38
Tân Bình,240.0,720.0,3.0,3.0,60.0
1,55.0,200.0,4.0,4.0,10.6
12,86.0,339.0,5.0,6.0,7.689999999999999
6,116.0,350.0,10.0,6.0,21.0
Gò Vấp,65.0,206.0,5.0,6.0,7.8
Bình Thạnh,45.0,120.0,4.0,3.0,7.3
Phú Nhuận,45.0,145.0,4.0,3.0,4.25
7,152.0,350.0,7.0,7.0,20.3
4,26.0,26.0,2.0,1.0,1.79
11,64.0,64.0,4.0,4.0,13.5
Tân Bình,64.0,130.0,2.0,2.0,9.8
10,33.0,165.0,4.0,4.0,8.8
11,35.0,35.0,4.0,4.0,8.4
Bình Thạnh,226.0,500.0,5.0,3.0,11.0
Tân Phú,36.3,90.0,3.0,3.0,4.75
3,100.0,499.0,5.0,5.0,29.0
2,95.0,95.0,3.0,2.0,1.55
6,112.0,112.0,8.0,6.0,21.5
6,70.0,70.0,4.0,3.0,10.0
Bình Tân,69.0,69.0,5.0,5.0,9.0
6,47.0,47.0,2.0,2.0,6.9
1,100.0,540.0,5.0,6.0,33.0
7,170.0,170.0,4.0,3.0,21.0
10,110.0,400.0,6.0,4.0,28.0
10,180.0,180.0,2.0,2.0,12.6
12,112.8,73.8,3.0,3.0,6.0
4,62.0,62.0,3.0,2.0,0.98
3,175.0,600.0,6.0,6.0,45.0
12,52.0,52.0,4.0,6.0,6.3
3,88.4,113.0,3.0,3.0,25.5
6,64.0,300.0,7.0,5.0,8.5
1,75.0,300.0,8.0,9.0,15.0
2,113.0,113.0,3.0,2.0,11.5
11,64.0,190.0,4.0,5.0,10.8
10,17.0,37.0,2.0,2.0,2.2
7,103.0,103.0,2.0,2.0,7.5
9,58.0,116.0,3.0,3.0,1.65
1,175.0,873.0,5.0,5.0,57.0
5,62.0,124.0,2.0,2.0,1.53
4,80.0,80.0,2.0,2.0,2.3
Tân Phú,64.0,120.0,2.0,2.0,7.9
Phú Nhuận,68.0,130.0,3.0,3.0,6.2
7,53.0,53.0,4.0,5.0,9.5
Tân Bình,60.0,160.0,5.0,4.0,11.0
Tân Phú,169.0,169.0,1.0,1.0,12.199
Tân Phú,65.0,90.0,2.0,2.0,7.5
8,240.0,400.0,7.0,4.0,17.5
9,90.0,160.0,4.0,2.0,5.7
8,42.0,42.0,4.0,3.0,5.5
Phú Nhuận,48.0,48.0,2.0,2.0,5.79
7,41.0,41.0,2.0,2.0,6.05
9,70.0,70.0,3.0,3.0,4.3
8,56.0,112.0,4.0,3.0,0.889
5,105.0,500.0,5.0,6.0,55.0
12,68.0,68.0,2.0,1.0,3.47
9,140.0,140.0,2.0,1.0,10.5
7,220.0,700.0,6.0,7.0,42.0
12,76.0,228.0,5.0,6.0,7.55
12,54.0,54.0,4.0,6.0,6.3
1,277.0,276.0,1.0,1.0,114.999
5,52.0,104.0,3.0,3.0,1.97
Phú Nhuận,30.0,120.0,4.0,5.0,8.6
4,84.0,257.0,7.0,4.0,18.5
8,52.0,52.0,2.0,2.0,7.0
3,141.0,423.0,3.0,3.0,35.0
5,144.0,144.0,8.0,8.0,68.0
11,78.0,78.0,5.0,5.0,2.75
10,16.0,40.0,2.0,2.0,2.9
8,100.0,400.0,5.0,5.0,8.3
Tân Bình,144.0,1020.0,7.0,7.0,32.5
7,90.0,360.0,4.0,5.0,16.8
Tân Bình,203.6,203.15,8.0,9.0,70.0
2,193.0,193.0,3.0,3.0,32.0
