quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
2,113.0,113.0,3.0,2.0,12.9
2,160.0,160.0,4.0,4.0,36.0
2,88.0,88.0,2.0,2.0,11.5
2,113.0,113.0,3.0,3.0,11.5
2,142.0,142.0,3.0,3.0,19.0
2,88.0,88.0,2.0,2.0,10.2
2,140.0,140.0,3.0,2.0,23.0
2,700.0,700.0,5.0,5.0,41.0
2,127.0,127.0,3.0,2.0,18.0
2,120.0,120.0,3.0,2.0,13.6
2,88.0,88.0,2.0,2.0,10.5
2,96.0,96.0,2.0,2.0,13.0
2,108.0,108.0,4.0,4.0,23.0
2,550.0,550.0,7.0,6.0,450.0
2,77.0,230.0,6.0,3.0,50.0
2,114.0,560.0,3.0,3.0,79.0
2,142.0,142.0,3.0,3.0,23.0
2,100.0,100.0,2.0,2.0,15.0
2,142.0,142.0,3.0,2.0,19.0
2,120.0,400.0,4.0,4.0,75.0
2,142.0,142.0,3.0,3.0,19.0
2,135.0,135.0,3.0,2.0,20.0
2,70.0,70.0,2.0,2.0,12.0
2,208.0,400.0,4.0,4.0,39.0
2,130.0,130.0,2.0,2.0,14.0
2,290.0,290.0,4.0,4.0,42.0
2,100.0,100.0,2.0,2.0,13.5
2,142.0,142.0,3.0,3.0,19.0
2,100.0,100.0,2.0,2.0,13.0
2,88.0,88.0,2.0,2.0,11.7
2,100.0,100.0,2.0,2.0,14.0
2,135.0,135.0,3.0,2.0,16.8
2,120.0,120.0,3.0,2.0,12.0
2,88.0,88.0,3.0,2.0,7.0
2,100.0,100.0,2.0,2.0,10.0
2,250.0,250.0,3.0,3.0,66.0
2,142.0,142.0,3.0,2.0,23.0
2,120.0,120.0,3.0,2.0,10.5
2,88.0,88.0,2.0,2.0,12.0
2,88.0,88.0,2.0,1.0,8.8
2,112.0,112.0,3.0,2.0,13.0
2,51.0,51.0,1.0,1.0,7.0
2,92.0,92.0,2.0,2.0,8.2
2,140.0,140.0,1.0,1.0,105.0
2,193.0,193.0,3.0,3.0,32.0
2,100.0,100.0,2.0,2.0,13.0
2,433.0,433.0,4.0,4.0,82.0
2,140.0,420.0,4.0,5.0,40.0
2,88.0,88.0,2.0,2.0,9.7
2,120.0,120.0,3.0,2.0,12.9
2,86.0,220.0,4.0,4.0,42.0
2,120.0,120.0,3.0,3.0,11.8
2,140.0,500.0,4.0,4.0,104.999
2,144.0,144.0,3.0,3.0,30.0
2,113.0,113.0,3.0,2.0,11.5
2,98.0,98.0,2.0,2.0,12.9
2,120.0,120.0,3.0,2.0,11.0
2,120.0,120.0,3.0,2.0,36.0
2,100.0,100.0,2.0,2.0,13.5
2,127.0,127.0,3.0,2.0,18.0
2,113.0,113.0,3.0,2.0,13.0
2,120.0,120.0,3.0,3.0,12.8
2,88.0,88.0,2.0,2.0,9.2
2,140.0,140.0,4.0,4.0,109.999
2,152.0,152.0,3.0,2.0,25.0
2,127.0,127.0,3.0,2.0,16.0
2,97.0,97.0,2.0,2.0,10.3
2,100.0,100.0,6.0,4.0,25.0
2,92.0,92.0,2.0,2.0,12.5
2,96.0,96.0,3.0,2.0,8.5
2,210.0,700.0,5.0,6.0,52.0
2,143.0,143.0,3.0,2.0,19.0
2,129.0,129.0,3.0,2.0,19.5
2,81.0,81.0,2.0,1.0,14.0
2,127.0,127.0,3.0,2.0,25.0
2,139.0,139.0,3.0,2.0,23.0
2,142.0,142.0,3.0,3.0,19.0
2,88.0,88.0,2.0,2.0,9.4
2,270.0,270.0,2.0,2.0,29.0
2,137.0,137.0,3.0,2.0,17.5
2,351.0,351.0,4.0,4.0,100.0
2,120.0,120.0,3.0,2.0,20.0
2,160.0,160.0,3.0,2.0,25.0
2,104.0,104.0,3.0,2.0,22.5
2,76.0,228.0,4.0,4.0,42.0
2,248.0,248.0,5.0,4.0,55.0
2,400.0,400.0,4.0,4.0,85.0
2,328.0,328.0,4.0,4.0,65.0
2,175.0,175.0,3.0,2.0,15.0
2,90.0,90.0,2.0,2.0,11.7
2,98.0,98.0,2.0,2.0,13.0
2,113.0,113.0,3.0,2.0,15.5
2,113.0,113.0,3.0,3.0,9.0
2,500.0,500.0,5.0,5.0,0.1
2,200.0,200.0,4.0,4.0,48.0
2,120.0,120.0,3.0,3.0,12.9
2,55.0,55.0,1.0,1.0,5.869
2,72.0,72.0,2.0,2.0,5.999
2,85.0,85.0,2.0,2.0,2.72
2,69.0,69.0,2.0,1.0,2.47
2,85.0,85.0,2.0,2.0,2.75
2,60.0,60.0,2.0,1.0,2.03
2,105.0,105.0,2.0,2.0,3.2
2,70.0,70.0,2.0,2.0,3.05
2,95.0,95.0,3.0,2.0,3.14
2,86.0,86.0,2.0,2.0,3.57
2,77.0,77.0,2.0,2.0,3.25
2,102.0,102.0,3.0,2.0,2.74
2,60.0,60.0,2.0,1.0,2.55
2,105.0,105.0,3.0,2.0,2.46
2,106.0,106.0,3.0,2.0,2.69
2,153.0,153.0,6.0,6.0,70.0
2,250.0,1000.0,4.0,3.0,70.0
2,225.0,1800.0,8.0,7.0,100.0
2,180.0,181.0,5.0,5.0,130.0
2,510.0,510.0,4.0,4.0,300.0
2,160.0,917.0,5.0,7.0,115.0
2,100.0,400.0,5.0,5.0,16.0
2,140.0,542.2,4.0,5.0,125.0
2,205.0,205.0,31.0,31.0,23.0
2,72.0,72.0,2.0,1.0,5.0
2,92.0,92.0,3.0,2.0,6.499
2,69.0,69.0,2.0,1.0,4.0
3,86.7,350.0,4.0,4.0,65.0
